strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.0000+-0.0000,0.0000+-0.0000,0.0050+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.2320+-0.0028,0.0007+-0.0000,0.0000+-0.0000,0.0000+-0.0000,13.5833+-0.0275,12.8290+-0.1796,0.9800+-0.0000,0.9658+-0.0001
avg,0.0000+-0.0000,0.0000+-0.0000,0.0084+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.2526+-0.0040,0.0036+-0.0000,0.0000+-0.0000,0.0000+-0.0000,12.4816+-0.6734,12.3047+-0.2259,0.9369+-0.0002,0.9436+-0.0001
min,0.0667+-0.0030,0.0333+-0.0007,0.0120+-0.0001,0.0058+-0.0000,0.0058+-0.0000,0.2705+-0.0054,0.1711+-0.0180,0.0667+-0.0030,0.0333+-0.0007,11.8041+-0.0401,12.5613+-0.0696,0.9354+-0.0002,0.9497+-0.0000
max,0.0000+-0.0000,0.0000+-0.0000,0.0085+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.2574+-0.0036,0.0085+-0.0000,0.0000+-0.0000,0.0000+-0.0000,12.5251+-0.3045,12.4900+-0.0292,0.9588+-0.0001,0.9603+-0.0000
